cid,text,time,author,channelId,videoId
UgykOOrT27P6c2aGj7Z4AaABAg,Bro I literally want this type of house 🌺,11 days ago (edited),@mariyaansari7335,UCkY-TM4rvjqjn0xuYLG_bug,jWRWLBkQUQE
UgxMQXAyFCKzJ6h-lyp4AaABAg,This is my style of a house,13 days ago,@Briefix_on,UCxOEla6nzpJ7yXC0d7Vc_zA,jWRWLBkQUQE
UgygEkA5dkJzsp-adRp4AaABAg,Zòr ekan ❤❤❤❤❤🎉🎉🎉🎉🎉🎉,11 days ago,@KomilaAkmanova,UC0TnJmufubR7_Ihi4Ru88sg,jWRWLBkQUQE
UgzSmezmlSZff-eKpFN4AaABAg,Lots of love from India 🇮🇳 ♥ ❤ love your videos,3 weeks ago,@GlitterGlobe8,UC9Fzee7t-6owXLF3H0WA8PQ,jWRWLBkQUQE
Ugz2lEOqkPBaWVFml5t4AaABAg,Urr sooo cute😮😊😍 💖,2 weeks ago,@strongurll,UC6oSYr9_YnZwVlqBieSRzdg,jWRWLBkQUQE
UgyVsxOQvGu0p7RDTH54AaABAg,cutee!!,2 weeks ago,@ElvyraZevaniadhevy,UCPz-F-DQks_tjMMi4AvhU5w,jWRWLBkQUQE
UgzcYSU4VMbvYxq6R2V4AaABAg,Can't belive that someone can be this cute ❤ you are the only youtuber I found who also made a short house tour video love you ❤️ ❤ lots of virtual hugs and love from India may this house bring you more happiness in life,3 weeks ago (edited),@Thedaisy7,UCanl3KyhoCH-xbcUprwARRg,jWRWLBkQUQE
UgzQosdOXExwsgGufQl4AaABAg,Her bathroom is bigger than my house 💀💀💀💀,11 days ago,@QueenXaddicted,UCDauKHEzAYDeinR9pRHmhpg,jWRWLBkQUQE
Ugxvl3Hy7wTwrI6RGDN4AaABAg,dream house,13 days ago,@katrinkatrin590,UCs5DPZGq0PVTAN9pI3Q1sfg,jWRWLBkQUQE
Ugzko4vCSbMvXar_FT14AaABAg,Cute house tour 😅❤,12 days ago,@DaughterofMother1,UCZEBicKI3rA6D3azAFcidKg,jWRWLBkQUQE
UgxZeNsQUtfeYHTgU5B4AaABAg,"WTF YOU MEAN MINI !?😭 in mumbai this will be around 400,000 dollars 😭",10 days ago,@Shambhavi_idk,UCFJl5CjLEB2xYlxGKi2bZQg,jWRWLBkQUQE
UgxFVdWbPaLrPVtkp0l4AaABAg,Wow so small 😅 same like ours in Singapore,8 days ago,@eugenetan7372,UCh-ZIeNSAmzUmdG4WmmAnlQ,jWRWLBkQUQE
UgwLihKduqCuCEnYgnt4AaABAg,Now i wanna know whats in that secret room😂,12 days ago,@eeee__o5299,UC6gGjM5lbv4T8jER2djhOWA,jWRWLBkQUQE
UgxQVRO2-AGEK9Z-CJV4AaABAg,"MINI korean apt 😳😂?? 
We don't have the same definition of the word ""mini""😅
Anyway that's a lovely flat and the tenant seems to be super nice 👍❤️",2 weeks ago,@Aegan-po6se,UCOag2dzcUpWGvqLRlWJIFhg,jWRWLBkQUQE
UgwiaoDBzEonIqywg894AaABAg,Very nice house. Very well laid out floor plan 🙂,3 weeks ago,@ProRacer6626,UCMZ8gWN4NaWIACFWQHyHxJg,jWRWLBkQUQE
UgxRAbuaia9WJ8N80_V4AaABAg,I wish you joy and smiles in your home.❤,3 weeks ago,@ivanuslorena7251,UCCXxls4enKqEknxRmnJZ5GQ,jWRWLBkQUQE
UgzdO4KKw_rg5atX1-J4AaABAg,"If this is a mini, what does a 'normal' one look like? 👀",2 weeks ago,@fangirlhood,UCqcBOy10e94IuHKHMRlNEbg,jWRWLBkQUQE
