cid,text,time,author,channelId,videoId
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdEaXKL3eA,@ainehiliate who hurt u 😂,3 months ago,@VEE_..,UCR-NzdJGMS_kJUPVjwTnXgw,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdGkekGu6B,girl thats basic human decency,3 months ago,@elise6802,UCAUl_Cbqam8Apycq3JWbHNw,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdSjLjdo4H,"its the bare minimum, if my siblings get hurt i immediately stop laughing and get concerned.",3 months ago,@grachye,UCgXkoUjXuQhddGgXeX9Qz7Q,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdbVfoNa5a,whens the time stamp,3 months ago,@betulbutun-rg4lu,UC5g-SfsA2gLoaPNDWr-8tdg,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdl5wV23n0,I mean a anyone would rlly react the same bro?,3 months ago,@Yomam1,UC9k3mDx9_8p09Rii9UPActQ,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdlItM1une,I was just about to write that,3 months ago,@Aayushazz_37,UCmLtJ_2SAHUIhM6nJv3E6ew,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdlw_INGVP, @hiliate exactly,3 months ago,@Mimi-v6o7q,UCkIF0gjbPp0tdGKisGOxWiA,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdlxVw0W8N, @grachye literally,3 months ago,@Mimi-v6o7q,UCkIF0gjbPp0tdGKisGOxWiA,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdrIx9Cnrr,You have moomoo how many more do you need?,3 months ago,@Booker-ig6phT,UCY1Aircl_7CO27_bFpH9mpA,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABdrKX-MyD4,#xiaodongca,3 months ago,@Booker-ig6phT,UCY1Aircl_7CO27_bFpH9mpA,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABf7BgGgAnR," @VEE_.. aint nb hurt, yall think ha sisters hate each other so much that they wouldnt feel worried when their sibling is hurt or in danger.",3 months ago,@hiliate,UCAwkKYSw3OWyHbheYVbj2tg,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABf9RV9eQYC,Pointing out what 9/10 humans do is wild 😂 haha,3 months ago,@sprousehouse100,UC4ohKQVQHVYAK2QOdg6bZjg,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABfAGz-GNu3,"lmao guys yall need to chill, whatever i said is not that deep. ik its bare minimum but can people not appreciate the bare minimum wholesome thing they come across? or are yall just so negligent towards appreciating little things? aint nobody asked for yalls opinions LET ME APPRECIATE WHAT YALL DONT WANNA NOTICE OR CONSIDER IT BARE MINIMUM (again, ik its bare minimum)",3 months ago (edited),@hloml,UCK9V9pOcg4DuNIDpi3Hjxnw,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABfAOi9c3V6, @elise6802  like idk? whats wrong with me pointing out something i like?,3 months ago,@hloml,UCK9V9pOcg4DuNIDpi3Hjxnw,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABfAZiUc9iD," @hiliate  no one thinks they hate each other? if one thinks so, they havent been following them for so long i guess. but yall are so pressed about someone finding it cute and tagging it as bare minimum as if idk it's bare minimum lol",3 months ago (edited),@hloml,UCK9V9pOcg4DuNIDpi3Hjxnw,pvnZkavIIzc
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABfMeEBQFBv,emily definitely laughed at this,3 months ago,@skzeffect,UCkaDIlqp32873Y31KQyyZXg,pvnZkavIIzc
