cid,text,time,author,channelId,videoId
UgxEAABd0Dub8ggTbGl4AaABAg.AFZQav8d88SAFZQzx1NZvC, @karanhanda3918  smooth 🤙🏼,6 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgywgG9Om1xWIDJ4SWJ4AaABAg.AFMqnz1D1RwAFMsGu436Iw, @davicarneiro84  🤙🏼🤙🏼,11 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgyVIaXQVsY0hkOGIaJ4AaABAg.AFe6ndBpO40AFe7zvUEXA5, @hyperlizard  thank you with mutual respect 🙏🏼,4 days ago (edited),@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgwiE1pzEimFvdRdM_l4AaABAg.AFeJaqPdZk9AFeKYzwtceP, @donPixelado  🙏🏼❣️💃,4 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
Ugz_i1CFL0MD3Z4QAAV4AaABAg.AFjCGq6YhISAFjDbHNa23H," @mattcole3067  thank you, sir 🤝🏻",2 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgzvnwRUUrY_kN2TKbB4AaABAg.AFeHuppW7IvAFeIZPUwTMd, @kwakuduahtv  🌞🌞🌞,4 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgxGzviqNCF-zIzNvoR4AaABAg.AFL7dGx96FhAFUE6_5dvsf, @marcandrewhoffman  word 💯💁🏼‍♂️,8 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
Ugwrz4lCQEA8Gv4Bjjh4AaABAg.AF3UPUwFlxoAF4CclSe6WT, @PhillipMarquez  much appreciated 🙏🏼,2 weeks ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
Ugy1Sa3gKYghhyY6cp54AaABAg.AFe4Sg7-Ez6AFe6V8C6dlf, @andrewdawley454  nothing but gratitude 🙌🏼🤝🏼🥂,4 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgwDZAOba0cHEFLJpHd4AaABAg,"Ufffff good mix, greetings from Perú 🇵🇪 ❤",2 days ago,@lenninjhoselincabellocarri6245,UC0jUJFaDKJIo4cotCZGYjNA,JOksXpBtOUc
